detector,n_alertes,x_mean,x_std,y_mean,y_std,snr_median
69,25,2093.8490448,1165.6481324795507,2307.2967536,1178.784642486295,158.32387
58,24,1635.21468,1071.7475780029445,2181.529629166667,962.9355121489347,212.333935
54,21,2046.382219047619,1332.8316062051226,2266.8754819047617,1033.9537182765648,275.27725
57,21,2061.987811428571,1033.4770811777794,2518.683602857143,1024.2494086700176,236.00371
101,20,2444.1261105,1271.2027845014989,1731.2120761499998,1150.8027604579734,247.320015
108,18,1595.6072744444443,1027.5009000902885,1338.565327222222,1058.2452495218,105.067845
72,17,1750.4178176470589,1281.7818953608794,2045.772678235294,1083.922459847184,231.68372
61,17,2479.2870290588235,1321.1988200285625,1718.5405132352942,1276.928494598052,238.57065
47,17,2387.7575935294117,1166.2088735963146,2081.5649194117645,1101.5230132819145,233.91689
145,17,2790.279528235294,1209.3391543427808,1755.2304923529412,869.3158691615483,69.95991
70,16,1780.364905625,1109.2663341336422,2289.45376425,1391.6000742408328,243.605505
109,16,1645.264420625,946.0089951014426,2722.6868225,1231.7266182499723,170.27527500000002
56,16,1950.31446875,992.2763527918787,2322.06903375,843.847703926209,98.0404
62,16,2037.4955771875,1160.5108943539803,1776.266030625,884.6326267171947,229.534615
117,16,2324.513230125,916.7485876342564,1709.0365935,1040.2336120541474,228.12531
66,15,1619.4756766666665,1051.4255572617049,2017.17767,1301.6281927981724,234.98952
63,15,1749.5575017333333,1170.737409386459,2130.4533466666667,1214.755136688165,209.49646
55,15,1704.4787046666668,1229.4292975862709,1907.21469,1437.961588886758,235.65875
23,14,2029.3176471428571,1076.5329516293552,2781.1888714285715,735.3114405195157,231.981155
67,14,1597.9283757142857,1127.0594230833542,2300.2617664285713,1082.873260422613,243.56412999999998
78,14,1209.140646,1003.1504442178447,1840.700185,1008.2749408172881,249.590485
59,13,1496.5520530769231,890.6512428259052,1646.9085953846154,1031.4456959799518,264.81085
89,13,2402.2445876923075,832.7125219408007,1544.0800953846153,859.5214542268756,147.11783
77,13,877.7497484615385,889.3869440852417,1928.666671076923,1184.1468206266345,215.65817
60,13,2433.9211746153846,1084.2586110892435,1374.9352592307694,1111.2782472785782,234.52342
76,13,2508.9532876923076,1358.2911504401773,2388.7664538461536,827.2450580811875,239.91562
153,13,1879.4921115384616,1036.462827010043,2557.094009230769,972.764964866909,172.00052
24,13,1747.5202021538462,1130.2260192535496,1894.3746853846153,1200.0607699454495,212.44817
34,13,2008.8265553846154,1283.4494556742077,2019.1640923076923,944.3742533928886,273.67383
25,13,1819.7801515384615,1132.9182418037478,2456.3430153846152,1152.7079732904715,281.8934
155,12,1259.3086275,1204.700890844994,1426.8119786666666,1196.4579906582826,19.594431
157,12,1812.1126725000001,1156.9614949354936,1782.3601016666664,1587.5148337105186,10.8734285
113,12,1973.454055,1538.950519188482,2242.3529708333335,1098.6608128486141,133.15
118,11,2412.51107,1174.7118820607564,2458.468827272727,941.5434253074936,234.5737
165,11,1772.5727936363635,816.5478896884104,1930.2714790909092,766.854223148968,186.08205
6,11,2451.3022618181817,1595.7199974031112,2707.4277154545457,802.0309222986949,219.8427
159,11,1091.9557966363636,1221.0670928097147,1202.662570909091,968.5305227133291,42.628563
46,11,1935.4139327272728,1365.4736822831046,2136.9300484545456,1276.2487645138704,125.39933
13,11,2446.1548545454543,1538.9738475498036,2115.4314727272726,1032.2743300118007,57.4997
73,10,1805.791633,797.1971310250259,3243.3089,890.4651161406055,307.62214
22,10,1903.5458979999999,1286.9099516882331,2024.997226,1406.0327429176245,245.87291
17,10,2173.7150685,1410.2375936443316,1463.994082,1228.5558905981818,140.667008
33,10,1893.69886,1244.0282686676471,2291.387076,990.6500582546224,247.36437
88,10,2104.693419,997.0826342624515,1114.2242190000002,772.9677902794309,136.873625
100,10,2150.84673,736.8706260140304,1698.02549,1169.3746102794303,271.27824499999997
71,10,1837.967545,939.0659064886828,2154.880023,1028.7548405507407,158.20595
146,10,1079.737013,578.5472299047448,2087.058544,1399.8309714583172,96.493615
141,10,2050.561565,1216.3419908316123,1718.641642,1262.4900537127583,77.2216275
